,Hindi,Wordss
464,शहर (śahar),city
465,प्रधानमंत्री (pradhānmantrī),Prime minister
466,ब्राह्मण (brāhmaṇ),Brahmin
467,उनको (unko),For them
468,महीने (mahīne),Month
469,अच्छे (acche),Good
470,हवा (havā),Air
471,शाम (śām),evening
472,इधर (idhar),here
473,संसार (sansār),world
474,विरोध (virodh),Oppose
475,रखना (rakhnā),Keep
476,प्रशिक्षण (praśikṣaṇ),Training
477,संघ (saṅgh),Federation
478,बनी (banī),Made
479,पृथ्वी (pŕthvī),Earth
480,ऊर्जा (ūrjā),energy
481,हमने (hamne),We
482,वास्तविक (vāstavik),Real
483,सहयोग (sahyog),help
484,तेल (tel),Oil
485,अवधि (avdhi),period
486,सात (sāt),Seven
487,लगते (lagte),Looks
488,मार्ग (mārg),Way
489,बंद (band),off
490,प्रचलित (praclit),Prevailing
491,संघर्ष (saṅgharṣ),Conflict
492,दिशा (diśā),Direction
493,स्थित (sthit),Located
494,बैठा (baiṭhā),sat
495,वर्षों (varṣõ),Years
496,अधिकांश (adhikānś),majority of
497,शादी (śādī),wedding
498,वातावरण (vātāvraṇ),Climate
499,तुलना (tulnā),Compare
500,राजीव (rājīv),Rajeev
501,साधारण (sādhāraṇ),ordinary
502,सम्पूर्ण (sampūrṇ),total
503,राजस्थान (rājasthān),Rajasthan
504,सफल (saphal),successful
505,कितने (kitne),how many
506,वापस (vāpas),Back
507,मानसिक (mānsik),mental
508,परम्परा (paramparā),Tradition
509,बोले (bole),Speak
510,बीज (bīj),seed
511,खेल (khel),game
512,अंग (aṅg),Organ
513,बैठक (baiṭhak),meeting
514,जरूरत (jarūrat),Need
515,ग्रामीण (grāmīṇ),rural
516,इनकी (inkī),Her
517,कथा (kathā),Story
518,आयु (āyu),age
519,बातचीत (bātcīt),Conversation
520,प्रभावित (prabhāvit),Affected
521,निर्धारित (nirdhārit),Determined
522,निकाल (nikāl),Out
523,घटना (ghaṭnā),incident
524,कितनी (kitnī),How many
525,कवि (kavi),Poet
526,रक्त (rakt),blood
527,बालकों (bālkõ),Bears
528,किसान (kisān),Farmer
529,इच्छा (icchā),Desire
530,आयी (āyī),Came
531,बजे (baje),time
532,चेहरे (cehre),Facial
533,गुण (guṇ),virtue
534,आकार (ākār),shape
535,हृदय (hŕday),Heart
536,राज (rāj),rule
537,मार (mār),Kill
538,चुकी (cukī),Stomach
539,यात्रा (yātrā),Travel
540,नष्ट (naṣṭ),Destroy
541,खेती (khetī),Farming
542,सुबह (subah),Morning
543,नयी (nayī),New
544,जिन्हें (jinhẽ),Whom
545,आरम्भ (ārambh),Start
546,सुनकर (sunkar),Hearing
547,वायु (vāyu),Wind
548,नजर (najar),vision
549,थोड़ा (thoṛā),little
550,खाली (khālī),empty
551,ॐ (om),DO
552,खोज (khoj),Search
553,एकदम (ekdam),At once
554,व्यक्तियों (vyaktiyõ),Individuals
555,राजनीतिक (rājnītik),Political
556,आँखें (ā̃khẽ),eyes
557,संबंधित (sambandhit),related
558,तेज (tej),Quick
559,जरा (jarā),just
560,व्यक्तित्व (vyaktitva),Persona
561,बदल (badal),change
562,सवाल (savāl),question
563,उपभोक्ता (upbhoktā),Consumer
564,उपज (upaj),Yield
565,सुख (sukh),Happiness
566,मानते (mānte),Believe
567,मकान (makān),House
568,तेजी (tejī),Rise
569,जुलाई (julāī),july
570,प्रयत्न (prayatna),Effort
571,देवता (devtā),God
572,जानते (jānte),Know
573,कपड़े (kapṛe),clothes
574,संभव (sambhav),possible
575,सकता (saktā),Can
576,मदद (madad),help
577,वास्तव (vāstav),Reality
578,निकट (nikaṭ),Close
579,चलते (calte),Go
580,बाकी (bākī),Remainder
581,सोच (soc),Thinking
582,समस्त (samast),All
583,सदस्य (sadasya),Member
584,कठिन (kaṭhin),tough
585,अरे (are),Oho
586,राज्यों (rājyõ),States
587,नया (nayā),new
588,सीधे (sīdhe),Straight
589,फूल (phūl),flower
590,किस्म (kisma),Variety
591,अभाव (abhāv),Lack
592,जरूरी (jarūrī),Necessary
593,सेना (senā),army
594,श्रम (śram),Labour
595,विदेशी (videśī),foreigner
596,बाल (bāl),Hair
597,पुराने (purāne),Old
598,किंतु (kintu),But
599,विस्तार (vistār),Expansion
600,जाएगी (jāegī),Will go
601,छोटा (choṭā),small
602,वनस्पति (vanaspati),Vegetation
603,खर्च (kharc),Expense
604,पार (pār),Cross
605,अधिकारी (adhikārī),Officer
606,चलने (calne),Run
607,आशा (āśā),Hope
608,सुधार (sudhār),improvement
609,विशाल (viśāl),Huge
610,पूर्ति (pūrti),Fund
611,डाल (ḍāl),Branch
612,जानता (jāntā),knows
613,महसूस (mahsūs),Feel
614,बोल (bol),Lyrics
615,प्रतीत (pratīt),Seem to be
616,अध्यक्ष (adhyakṣ),President
617,सीखने (sīkhne),Learning
618,वर्ण (varṇ),Character
619,व्यापक (vyāpak),Comprehensive
620,भविष्य (bhaviṣya),Future
621,ध्वनि (dhvani),Sound
622,प्रयुक्त (prayukt),Used
623,प्रचार (pracār),Publicity
624,प्यार (pyār),Love
625,शिक्षण (śikṣaṇ),Education
626,शेष (śeṣ),remaining
627,मार्च (mārc),march
628,दुनिया (duniyā),World
629,ख्याल (khyāl),Care
630,प्रगति (pragti),progress
631,गैस (gais),Gas
632,लगातार (lagātār),Continuously
633,तौर (taur),As
634,उन्हीं (unhī̃),Her
635,सुरक्षित (surakṣit),Safe
636,सभा (sabhā),assembly
637,लौट (lauṭ),Back
638,लागत (lāgat),Cost
639,बनाये (banāye),Make
640,दर्द (dard),Pain
641,आखिर (ākhir),Finally
642,सोचा (socā),Think
643,दें (dẽ),Give
644,चीज (cīj),Thing
645,कल्पना (kalpanā),fancy
646,लक्ष्य (lakṣya),target
647,चाय (cāy),tea
648,खूब (khūb),Plenty
649,श्रीमती (śrīmtī),mrs
650,लाने (lāne),Get
651,मुक्त (mukt),Free
652,बुद्धि (buddhi),wisdom
653,पश्चिम (paścim),West
654,खेत (khet),farm
655,होनी (honī),Honey
656,चाहती (cāhtī),Want
657,उपयुक्त (upyukt),fit
658,अंत (ant),end
659,साधन (sādhan),means
660,संकेत (saṅket),clue
661,वस्तुओं (vastuõ),Object
662,मामले (māmle),Cases
663,बनाकर (banākar),By making
664,सहज (sahaj),Simple
665,सदा (sadā),Always
666,शारीरिक (śārīrik),Body
667,पकड़ (pakaṛ),grasp
668,उपाय (upāy),Measure
669,संस्थान (sansthān),Institute
670,सफलता (saphaltā),Success
671,बाबू (bābū),Baboo
672,तुम्हारी (tumhārī),Your
673,भूल (bhūl),Forgot
674,आत्मा (ātmā),soul
675,विचारों (vicārõ),Thoughts
676,रखी (rakhī),Laid
677,भूमिका (bhūmikā),Role
678,पैर (pair),Foot
679,करे (kare),Do
680,हाथों (hāthõ),Hand
681,भवन (bhavan),Build
682,नियम (niyam),Rule
683,दिल (dil),heart
684,तकनीकी (taknīkī),technology
685,जिसकी (jiskī),Whose
686,शिशु (śiśu),Infant
687,व्यय (vyay),Outlay
688,पेट (peṭ),Abdomen
689,नींद (nīnd),Sleep
690,नेताओं (netāõ),Leaders
691,अंदर (andar),Inside
692,लागू (lāgū),Applicable
693,बनने (banne),To become
694,त्वचा (tvacā),skin
695,गायन (gāyan),Singing
696,राजनीति (rājnīti),Politics
697,जमा (jamā),Deposit
698,सुविधा (suvidhā),Facility
699,बोर्ड (borḍ),Board
700,कानून (kānūn),law
701,शुरु (śuru),Start
702,लेखक (lekhak),Author
703,बावजूद (bāvjūd),Despite
704,क्रम (kram),sequence
705,लगने (lagne),Take
706,तुमने (tumne),You
707,हाल (hāl),Condition
708,सम्भव (sambhav),Possible
709,स्टेशन (sṭeśan),station
710,अगले (agle),Next
711,रास्ते (rāste),Way
712,मस्तिष्क (mastiṣk),Brain
713,गर्म (garm),warm
714,संबंधी (sambandhī),relative
715,यानी (yānī),i.e
716,पुरानी (purānī),Old
717,चित्रण (citraṇ),Illustration
718,अधिकारियों (adhikāriyõ),Officers
719,संस्कृत (sanskŕt),Sanskrit
720,सुन (sun),Listen
721,युवक (yuvak),young boy
722,पाठ (pāṭh),"Lesson, "
723,स्थानों (sthānõ),Places
724,वर्षा (varṣā),Rain
725,रखकर (rakhkar),Keeping
726,पशु (paśu),Animal
727,किसानों (kisānõ),Farmers
728,सत्ता (sattā),Power
729,प्राप्ति (prāpti),Receipt
730,दवा (davā),Medicine
731,खास (khās),Special
732,कमेटी (kameṭī),Committee
733,अंक (aṅk),numbers
734,हानि (hāni),Loss
735,सरल (saral),Easy
736,सिंचाई (siñcāī),Irrigation
737,शिकार (śikār),Hunt
738,वृक्ष (vŕkṣ),Tree
739,करेंगे (kareṅge),will do
740,औद्योगिक (audyogik),Industrial
741,आधारित (ādhārit),based
742,हत्या (hatyā),the killing
743,सहकारी (sahkārī),Cooperative
744,विवरण (vivraṇ),description
745,रोज (roj),Daily
746,मुझसे (mujhse),with me
747,आना (ānā),come
748,मौसम (mausam),Season
749,आँखों (ā̃khõ),Eyes
750,शुद्ध (śuddh),Pure
751,भेद (bhed),Distinction
752,विपरीत (viprīt),Adverse
753,लम्बी (lambī),Long
754,बनाना (banānā),make
755,दृष्टिकोण (dŕṣṭikoṇ),approach
756,गलत (galat),wrong
757,समर्थन (samarthan),Support
758,सम्मेलन (sammelan),the seminar
759,सचमुच (sacmuc),Really
760,बुद्ध (buddh),Buddha
761,बच्चा (baccā),baby
762,दीवार (dīvār),Wall
763,आंखों (ā̃khõ),Eyes
764,अध्याय (adhyāy),Chapter
765,अत्यधिक (atyadhik),excessive
766,सहित (sahit),Include
767,योग (yog),Total
768,मुख (mukh),Mouth
769,बिहार (bihār),A state in Eastern India
770,काव्य (kāvya),Poetry
771,सिद्धांत (siddhānt),Theory
772,सार्वजनिक (sārvajnik),Public
773,लघु (laghu),Small
774,बता (batā),Tell
775,परस्पर (paraspar),Mutually
776,तार (tār),wire
777,चूर्ण (cūrṇ),Powder
778,आयोजन (āyojan),Arrangement
779,सांस्कृतिक (sānskŕtik),Cultural
780,समझने (samajhne),Understand
781,वाद्य (vādya),Instrumental
782,प्रतीक (pratīk),symbol
783,तुम्हारा (tumhārā),your
784,छात्र (chātra),student
785,चुप (cup),quiet
786,अक्सर (aksar),often
787,जायेगी (jāyegī),Will go
788,रखे (rakhe),Keep
789,भार (bhār),load
790,फलों (phalõ),Fruits
791,जीवित (jīvit),alive
792,आजकल (ājkal),Nowadays
793,विस्तृत (vistŕt),comprehensive
794,गिर (gir),Fall
795,गुरू (gurū),Guru
796,खाद्य (khādya),Food
797,उतर (utar),Fountain
798,अमेरिका (amerikā),America
799,सुना (sunā),heard
800,स्थानीय (sthānīya),Local
801,विषयों (viṣyõ),Topics
802,घंटे (ghaṇṭe),hours
803,कराने (karāne),To
804,उतना (utnā),As
805,शताब्दी (śatābdī),Century
806,व्यवसाय (vyavsāy),occupation
807,मंदिर (mandir),temple
808,परिचय (paricay),introduction
809,गांवों (gāmvõ),Villages
810,बाँध (bāndh),dam
811,निश्चय (niścay),Decision
812,उपकरण (upakraṇ),Device
813,आतंकवादियों (ātaṅkvādiyõ),Terrorists
814,वैदिक (vaidik),Vedic
815,भागों (bhāgõ),Parts
816,अंश (anś),Part
817,सूत्र (sūtra),Formula
818,विविध (vividh),Various
819,बारह (bārah),Twelve
820,फलस्वरूप (phalasvarūp),Consequently
821,काट (kāṭ),cutting
822,अधिकतर (adhiktar),mostly
823,स्वाभाविक (svābhāvik),Natural
824,वाक्य (vākya),Sentence
825,बैठी (baiṭhī),Sitting
826,परिस्थितियों (paristhitiyõ),Circumstances
827,सूर्य (sūrya),Sun
828,शत्रु (śatru),enemy
829,पत्तियों (pattiyõ),Leaves
830,नियोजन (niyojan),Planning
831,ग्रन्थ (granth),Teeth
832,कही (kahī),Yeh
833,उम्र (umra),Age
834,अग्नि (agni),Fire
835,सिख (sikh),Sikh
836,बाप (bāp),father
837,पाकिस्तान (pākistān),Pakistan
838,पश्चात् (paścāt),Post
839,चिन्ता (cintā),Worry
840,आयोजित (āyojit),Held
841,यहीं (yahī̃),Here
842,वाद्यों (vādyõ),Instrumental
843,मुसलमान (musalmān),Muslim
844,भेज (bhej),Sending
845,बैंक (baiṅk),Bank
846,नारी (nārī),Woman
847,अंतिम (antim),The last
848,समुद्र (samudra),sea
849,संग्रह (saṅgrah),Collection
850,लेती (letī),Tear
851,दृश्य (dŕśya),sight
852,खाद (khād),Fertilizer
853,आलोचना (ālocnā),Criticism
854,हैक्टर (haikṭar),Hector
855,विरोधी (virodhī),hostile
856,पश्चिमी (paścimī),Western
857,धान (dhān),Rice
858,डाक (ḍāk),Post
859,कदम (kadam),step
860,आकाश (ākāś),sky
861,स्थायी (sthāyī),Permanent
862,वितरण (vitraṇ),Delivery
863,वंश (vanś),Linage
864,रोक (rok),Stoppage
865,प्रेरणा (prerṇā),Inspiration
866,चीनी (cīnī),Sugar
867,औरत (aurat),women
868,अप्रैल (aprail),april
869,अनिवार्य (anivārya),Mandatory
870,सकें (sakẽ),Can
871,महिला (mahilā),Woman
872,पहचान (pahcān),identity
873,क्रमशः (kramśaḥ),Respectively
874,सैनिक (sainik),Soldier
875,वजह (vajah),Reason
876,लकड़ी (lakṛī),wood
877,रुपये (rupye),Rupees
878,बढ़ा (baṛhā),Rise
879,पीठ (pīṭh),the back
880,पाई (pāī),Pie
881,डाक्टर (ḍākṭar),Doctor
882,सम्पर्क (sampark),Contact
883,वीं (vī̃),Tha
884,माननीय (mānnīya),Honorable
885,मूल्यांकन (mūlyāṅkan),Evaluation
886,गाय (gāy),Cow
887,क्षण (kṣaṇ),Moment
888,हालत (hālat),condition
889,संदर्भ (sandarbh),reference
890,बीस (bīs),Twenty
891,दोष (doṣ),Shortcoming
892,जीव (jīv),Life
893,चित्रित (citrit),Painted
894,खान (khān),Mine
895,खुशी (khuśī),pleasure
896,रोजगार (rojgār),employment
897,रिपोर्ट (riporṭ),Report
898,मंत्रालय (mantrālay),Ministry
899,प्राथमिक (prāthmik),primary
900,प्रदर्शित (pradarśit),Displayed
901,धारणा (dhārṇā),Presumption
902,ताल (tāl),rythm
903,जंगल (jaṅgal),forest
904,सका (sakā),could
905,यान (yān),Yan
906,उपक्रम (upakram),Activities
